office_id,name,phone,email,address_id,manager_agent_id
1,Dream Homes North Judithbury Office,3218196001,jesseguzman@gonzalez.com,1,
2,Dream Homes Lawrencetown Office,2654235116,howardmaurice@roman-blair.net,2,
3,Dream Homes South Christianport Office,9593103413,jamesshawn@martin-kelly.com,3,
4,Dream Homes New Cynthiaside Office,3276483503,trujillorichard@clark.com,4,
5,Dream Homes Lake Victor Office,7242388496,icox@snyder.com,5,
6,Dream Homes Port Erin Office,9166978480,maldonadoamanda@mack-peterson.com,6,
7,Dream Homes Mooretown Office,4828148932,kathryn88@george.com,7,
8,Dream Homes West Natashaport Office,3039117182,donnaarroyo@baker.biz,8,
9,Dream Homes New Karina Office,3465787133,morganbrianna@chapman.com,9,
10,Dream Homes East Carloston Office,5183473829,esanchez@lee-davis.biz,10,
